lat,lng,sv,date
32.986453,-105.794152,False,
32.986994,-105.792863,False,
32.988030,-105.790694,False,
32.988508,-105.789843,False,
32.988945,-105.787999,False,
32.987829,-105.786313,False,
32.985779,-105.783797,False,
32.983396,-105.780286,False,
32.981954,-105.777333,False,
32.980710,-105.774440,False,
32.979797,-105.772349,False,
32.977347,-105.769028,False,
32.976055,-105.768098,False,
32.974423,-105.764014,False,
32.974124,-105.761358,False,
32.973753,-105.758490,True,2026-02
32.973406,-105.755842,True,2026-02
32.992246,-105.872161,True,2024-04
32.993383,-105.871388,True,2024-04
32.994555,-105.870605,False,
32.996155,-105.869480,False,
32.997274,-105.868790,True,2024-04
32.998297,-105.868086,True,2024-04
32.999273,-105.867441,True,2024-04
33.000629,-105.866497,False,
32.907437,-105.962779,True,2024-04
32.906163,-105.962746,False,
32.904899,-105.962731,False,
32.903794,-105.962719,False,
32.902701,-105.962707,False,
32.900352,-105.962661,True,2024-04
32.897855,-105.962612,True,2013-06
32.896630,-105.962580,False,
32.894496,-105.962669,False,
32.892382,-105.962760,False,
32.891264,-105.962800,True,2007-12
32.890668,-105.962793,True,2024-05
32.888725,-105.962778,False,
32.886614,-105.962771,False,
32.884256,-105.962741,False,
32.883179,-105.962731,False,
32.882097,-105.962718,False,
32.881005,-105.962705,False,
32.878620,-105.963327,False,
32.877405,-105.963644,False,
32.876185,-105.963963,False,
32.875011,-105.964264,False,
32.874042,-105.963953,True,2020-11
32.872423,-105.964280,False,
32.870927,-105.964660,False,
32.868667,-105.965245,False,
32.867464,-105.965546,False,
32.865969,-105.965913,False,
32.864434,-105.966315,False,
32.863020,-105.966672,False,
32.860519,-105.967198,False,
32.859448,-105.967380,False,
32.858270,-105.967576,False,
32.857091,-105.967769,False,
32.855839,-105.967981,False,
32.854615,-105.968184,False,
32.853486,-105.968382,True,2024-04
32.853436,-105.969782,True,2026-01
32.852740,-105.970680,False,
32.852055,-105.970788,False,
32.850770,-105.971007,False,
32.848784,-105.971340,False,
32.846793,-105.971674,False,
32.845473,-105.971896,False,
32.844816,-105.972008,False,
32.843497,-105.972230,False,
32.842835,-105.972338,False,
32.841502,-105.972564,True,2024-04
32.840860,-105.972668,True,2024-04
32.840194,-105.972781,True,2024-04
32.838858,-105.973006,True,2024-04
32.838326,-105.973093,True,2024-04
32.837197,-105.973280,False,
32.836605,-105.973377,False,
32.835353,-105.973583,False,
32.834707,-105.973696,True,2024-04
32.833384,-105.973915,False,
32.831395,-105.974249,False,
32.829758,-105.974526,False,
32.829418,-105.974581,False,
